epsilon,steps,alpha,seed,held_out,auroc,f1,acc,lpips,lpips_std,lpips_net,n_images,pkl_path
32/255,10,0.01,42,cavia2024,0.36705625,0.4963144963144963,0.385,0.12869253754615784,0.08958114683628082,alex,1000,
32/255,10,0.01,42,chen2024_clip,0.036762500000000004,0.30323679727427594,0.182,0.126808762550354,0.08914971351623535,alex,1000,
32/255,10,0.01,42,chen2024_convnext,0.36368749999999994,0.24166666666666667,0.272,0.12669014930725098,0.08920436352491379,alex,1000,
32/255,10,0.01,42,corvi2023,0.29024375,0.18461538461538463,0.258,0.12276709824800491,0.08757755905389786,alex,1000,
32/255,10,0.01,42,koutlis2024,0.0806,0.15723873441994246,0.121,0.12628166377544403,0.08876054733991623,alex,1000,
32/255,10,0.01,42,ojha2023,0.22725,0.15614973262032084,0.211,0.12697581946849823,0.0891069695353508,alex,1000,
32/255,10,0.01,42,wang2020,0.2722125,0.09051724137931035,0.156,0.12779730558395386,0.0894717201590538,alex,1000,
32/255,10,0.01,123,cavia2024,0.36706249999999996,0.5101543460601138,0.397,0.128801628947258,0.0897473469376564,alex,1000,
32/255,10,0.01,123,chen2024_clip,0.030912500000000002,0.327455919395466,0.199,0.12656977772712708,0.08881041407585144,alex,1000,
32/255,10,0.01,123,chen2024_convnext,0.35528125,0.24455958549222798,0.271,0.12665608525276184,0.0891307145357132,alex,1000,
32/255,10,0.01,123,corvi2023,0.291490625,0.19213973799126638,0.26,0.12270534783601761,0.08799705654382706,alex,1000,
32/255,10,0.01,123,koutlis2024,0.07349687500000002,0.17958412098298673,0.132,0.1262243390083313,0.0887429416179657,alex,1000,
32/255,10,0.01,123,ojha2023,0.24466875,0.15991471215351813,0.212,0.12699775397777557,0.08894933015108109,alex,1000,
32/255,10,0.01,123,wang2020,0.258025,0.09523809523809523,0.164,0.12782420217990875,0.08952897042036057,alex,1000,
32/255,10,0.01,234,cavia2024,0.36473124999999995,0.48885218827415355,0.381,0.12870235741138458,0.08971694111824036,alex,1000,
32/255,10,0.01,234,chen2024_clip,0.0336,0.30756159728122345,0.185,0.1267239898443222,0.08898105472326279,alex,1000,
32/255,10,0.01,234,chen2024_convnext,0.3633125,0.23883696780893043,0.267,0.1266493797302246,0.0889337882399559,alex,1000,
32/255,10,0.01,234,corvi2023,0.29015,0.1879781420765027,0.257,0.12282992154359818,0.08789736777544022,alex,1000,
32/255,10,0.01,234,koutlis2024,0.07295937499999999,0.16777883698760726,0.127,0.12616194784641266,0.08872164040803909,alex,1000,
32/255,10,0.01,234,ojha2023,0.23926875,0.17112299465240643,0.225,0.12701374292373657,0.08902937173843384,alex,1000,
32/255,10,0.01,234,wang2020,0.24489999999999998,0.08779443254817985,0.148,0.12784221768379211,0.08963426202535629,alex,1000,
32/255,10,0.03,42,cavia2024,0.288175,0.41171403962101644,0.317,0.30800557136535645,0.14193961024284363,alex,1000,
32/255,10,0.03,42,chen2024_clip,0.0097375,0.1467038068709378,0.081,0.302998811006546,0.1413642019033432,alex,1000,
32/255,10,0.03,42,chen2024_convnext,0.17428750000000004,0.019417475728155338,0.192,0.303137868642807,0.14222915470600128,alex,1000,
32/255,10,0.03,42,corvi2023,0.08137500000000002,0.018626309662398137,0.157,0.2909041941165924,0.1394699662923813,alex,1000,
32/255,10,0.03,42,koutlis2024,0.027568750000000003,0.029197080291970805,0.069,0.30343154072761536,0.14181871712207794,alex,1000,
32/255,10,0.03,42,ojha2023,0.1474625,0.0738327904451683,0.147,0.3038080930709839,0.1422327607870102,alex,1000,
32/255,10,0.03,42,wang2020,0.05846875,0.004343105320304018,0.083,0.3061092495918274,0.1422925740480423,alex,1000,
32/255,10,0.03,123,cavia2024,0.29078750000000003,0.409366869037294,0.319,0.30776238441467285,0.1419985145330429,alex,1000,
32/255,10,0.03,123,chen2024_clip,0.0102625,0.14856081708449398,0.083,0.3027631342411041,0.1411730796098709,alex,1000,
32/255,10,0.03,123,chen2024_convnext,0.18470624999999996,0.016726403823178016,0.177,0.30320364236831665,0.14209885895252228,alex,1000,
32/255,10,0.03,123,koutlis2024,0.026834375,0.018769551616266946,0.059,0.30394330620765686,0.14207085967063904,alex,1000,
32/255,10,0.03,123,ojha2023,0.13124375,0.09492988133764832,0.161,0.30365294218063354,0.1416352093219757,alex,1000,
32/255,10,0.03,123,wang2020,0.0637125,0.004385964912280702,0.092,0.3061327040195465,0.1425643116235733,alex,1000,
32/255,10,0.03,234,cavia2024,0.29092500000000004,0.4062229904926534,0.313,0.3077932298183441,0.14179974794387817,alex,1000,
32/255,10,0.03,234,chen2024_clip,0.008362500000000002,0.1736745886654479,0.096,0.3033030927181244,0.14164747297763824,alex,1000,
32/255,10,0.03,234,chen2024_convnext,0.18939375,0.02395209580838323,0.185,0.30301591753959656,0.14177778363227844,alex,1000,
32/255,10,0.03,234,corvi2023,0.0829125,0.023094688221709004,0.154,0.291326642036438,0.14012962579727173,alex,1000,
32/255,10,0.03,234,koutlis2024,0.024625,0.02688728024819028,0.059,0.30397212505340576,0.14249467849731445,alex,1000,
32/255,10,0.03,234,ojha2023,0.130475,0.09197860962566845,0.151,0.30378666520118713,0.14183522760868073,alex,1000,
32/255,10,0.03,234,wang2020,0.05919375000000001,0.0021834061135371182,0.086,0.30599358677864075,0.1426045000553131,alex,1000,
32/255,10,0.05,42,cavia2024,0.2827875,0.32228360957642727,0.264,0.41611355543136597,0.1656709909439087,alex,1000,
32/255,10,0.05,42,chen2024_clip,0.011868750000000003,0.09569377990430622,0.055,0.4103189706802368,0.16523127257823944,alex,1000,
32/255,10,0.05,42,chen2024_convnext,0.1861375,0.004860267314702309,0.181,0.4109008312225342,0.16625025868415833,alex,1000,
32/255,10,0.05,42,corvi2023,0.0705375,0.018202502844141072,0.137,0.3983336091041565,0.16546036303043365,alex,1000,
32/255,10,0.05,42,koutlis2024,0.026209375000000007,0.016563146997929608,0.05,0.41178083419799805,0.16622516512870789,alex,1000,
32/255,10,0.05,42,ojha2023,0.11196875,0.10256410256410256,0.125,0.4110468029975891,0.16604913771152496,alex,1000,
32/255,10,0.05,42,wang2020,0.038012500000000005,0.002178649237472767,0.084,0.4115888774394989,0.1652497500181198,alex,1000,
32/255,10,0.05,123,cavia2024,0.277775,0.3271719038817006,0.272,0.41666439175605774,0.1653757244348526,alex,1000,
32/255,10,0.05,123,chen2024_convnext,0.19926249999999995,0.007326007326007325,0.187,0.4102414548397064,0.16605865955352783,alex,1000,
32/255,10,0.05,123,corvi2023,0.06972500000000001,0.016055045871559634,0.142,0.39783117175102234,0.16457568109035492,alex,1000,
32/255,10,0.05,123,koutlis2024,0.029271875000000006,0.016546018614270942,0.049,0.4113444685935974,0.16564525663852692,alex,1000,
32/255,10,0.05,123,ojha2023,0.10736875,0.10601427115188584,0.123,0.41076335310935974,0.16595177352428436,alex,1000,
32/255,10,0.05,123,wang2020,0.043075,0.0021857923497267764,0.087,0.4114413261413574,0.16507165133953094,alex,1000,
32/255,10,0.05,234,cavia2024,0.27161875,0.3210332103321033,0.264,0.41636013984680176,0.16562846302986145,alex,1000,
